id,Number_of_Shots_Fired,Distance_of_Victim_from_Police,Response_Time,Number_of_Officers_Involved,Time_of_Day,Population_Density_Of_City,Duration_of_Incident,Distance_from_the_Nearest_Police_Station
1360,3,90,2,2,11:23PM,356695,10,707
1361,9,611,3,4,03:48PM,438631,78,1511
1362,5,1054,13,1,03:59AM,158235,39,485
1363,7,1129,18,1,04:40PM,183204,26,1755
1364,0,734,4,3,06:33PM,190465,62,524
1365,2,1210,8,5,04:32PM,271083,49,1425
1366,1,754,8,5,09:27AM,339437,36,533
1367,7,1345,7,6,03:48AM,458043,17,517
1368,7,136,16,1,01:34PM,158909,30,414
1369,0,950,0,2,01:18AM,270080,64,1885
1370,9,1076,18,3,05:26AM,185577,35,223
1372,6,942,14,1,01:04PM,155804,9,327
1374,4,224,17,2,11:51AM,107747,14,1281
1376,9,16,4,4,01:31AM,165744,90,1263
1377,3,467,7,1,10:24PM,331030,89,1443
1378,8,1122,8,2,11:01AM,198978,61,1468
1379,4,927,18,6,01:43PM,158584,30,1298
1381,4,735,14,1,09:33PM,426975,11,1977
1382,2,1372,9,3,05:38PM,363744,68,632
1384,6,771,1,6,03:11AM,481641,74,1919
1385,7,632,7,5,05:20AM,226425,60,971
1387,0,909,18,4,06:42AM,422618,49,900
1389,7,161,0,2,02:45PM,398442,67,1538
1390,5,1447,7,2,01:33AM,175355,78,209
1391,4,1162,17,2,12:17PM,413843,80,180
1392,10,482,1,3,11:59AM,325571,75,1395
1393,3,100,0,3,02:11AM,426975,15,1597
1394,7,840,14,1,08:50AM,152472,50,257
1395,5,1198,5,4,04:15AM,244009,12,1374
1396,8,383,3,4,05:52AM,425053,32,670
1397,10,1,12,6,11:11PM,373747,30,1518
1398,2,1421,13,6,03:46PM,349246,87,1115
1399,9,415,17,5,04:34PM,280504,2,716
1400,4,339,15,4,09:03AM,413876,42,1630
1403,3,1322,14,6,02:00AM,176220,30,1979
1404,4,711,4,5,10:10AM,122919,22,130
1405,5,1224,18,4,04:45PM,187252,18,1815
1406,6,1100,15,2,01:53PM,370701,50,880
1407,1,241,14,3,04:10AM,250602,42,695
1408,6,1063,5,1,05:12PM,438570,36,388
1410,1,373,2,4,04:11AM,117630,63,1938
1411,0,1085,4,3,02:14AM,394599,14,1587
1412,7,1186,16,4,07:47PM,287364,87,1153
1413,0,6,10,1,05:11AM,278006,59,1224
1414,1,1489,10,1,02:16AM,243398,19,1039
1415,0,148,20,4,07:52AM,306980,58,752
1416,0,405,0,1,07:16PM,137934,3,1804
1417,9,118,8,4,07:10PM,470609,85,1543
1418,6,1330,8,5,05:53PM,118917,80,438
1419,7,1342,1,2,10:03AM,208611,32,1118
1421,5,689,7,1,05:07PM,465636,21,947
1422,5,65,9,5,03:08PM,339513,38,312
1424,2,223,11,4,02:04PM,366263,17,1687
1425,7,1373,6,1,12:40PM,464660,81,1634
1426,8,392,16,6,05:27PM,406687,4,1382
1427,10,73,13,6,09:35PM,276500,88,1356
1428,9,282,1,6,04:00AM,381649,60,1868
1429,5,335,13,1,04:34PM,260045,85,1368
1430,1,1093,2,3,03:10PM,384799,27,1812
1431,5,1289,11,3,06:05PM,229949,33,469
1432,10,759,13,1,03:37AM,473730,28,1476
1433,6,778,5,6,11:55AM,180734,70,1138
1434,2,1488,5,3,01:54PM,277034,66,1616
1435,8,1067,5,3,02:44AM,297667,56,845
1436,0,370,4,2,06:43PM,133659,78,585
1438,6,615,17,4,12:32AM,366819,65,908
1439,3,12,17,3,02:52PM,330730,10,1787
1440,9,1337,7,1,09:31PM,426344,50,1797
1443,9,735,17,3,06:17PM,161716,53,1747
1445,8,208,13,1,12:43PM,419692,16,111
1447,8,42,1,6,06:27PM,416622,40,1436
1449,0,602,9,1,11:48AM,381649,42,513
1450,6,1184,9,3,03:21PM,158235,83,1349
1452,7,998,7,2,08:19AM,470573,81,641
1453,1,703,16,4,04:32AM,291623,26,670
1454,2,412,15,1,09:21AM,166225,41,1517
1455,1,1374,17,6,07:25PM,363328,42,1194
1456,3,544,13,1,11:38AM,282311,29,1766
1457,5,150,16,5,07:25PM,478614,48,1893
1459,10,801,1,3,08:20PM,245392,69,1258
1460,0,138,0,1,02:07AM,146751,74,269
1461,8,461,18,6,06:47AM,382510,8,1564
1462,8,1390,16,6,05:13AM,432497,21,564
1463,6,1069,3,3,03:15PM,178019,79,1264
1466,1,1092,0,3,07:24AM,447381,82,280
1467,3,749,4,4,11:58AM,286896,57,1478
1468,10,319,19,4,07:06AM,290701,83,1485
1469,3,1246,14,3,08:01AM,363744,29,1368
1470,8,426,2,1,02:24PM,466697,61,434
1471,1,142,17,3,07:12PM,408236,59,521
1472,4,33,0,2,02:58PM,370522,35,490
1474,3,1205,15,4,07:39PM,248745,12,1997
1475,7,756,8,3,05:11AM,326613,21,1181
1477,8,862,18,5,04:24AM,109494,56,1552
1478,5,1320,0,1,12:22PM,182600,67,252
1479,8,51,0,2,01:07AM,430267,12,1760
1480,9,479,11,4,01:55PM,258882,38,353
1481,8,671,15,2,10:05AM,494643,49,412
1482,0,333,10,4,03:06AM,275701,38,1197
1483,5,779,0,3,09:13PM,320340,25,1797
1484,10,549,1,3,07:03AM,467389,28,1650
1485,2,790,13,3,11:33AM,337085,40,1783
1487,7,422,10,4,11:54PM,478663,66,774
1488,10,1389,18,6,02:03AM,254840,69,1940
1490,6,862,11,2,06:05AM,327402,30,1863
1491,3,591,18,6,05:30PM,463786,20,465
1492,2,178,3,2,08:09PM,408441,64,986
1493,9,316,5,5,08:33PM,110951,15,453
1494,6,1273,17,4,09:17PM,109428,48,285
1496,0,959,12,3,11:35AM,207706,12,362
1497,4,954,2,1,07:40PM,191767,36,567
1500,8,530,19,6,06:17PM,296487,40,1052
1501,10,843,14,5,04:31PM,294408,68,364
1502,4,1283,13,3,08:16PM,430267,5,1188
1505,2,1408,13,4,04:08PM,407364,65,1942
1506,6,552,2,5,07:17PM,277587,6,420
1507,7,1441,7,2,12:31AM,364515,55,130
1508,0,1440,4,5,09:18PM,310530,72,1819
1510,1,1181,12,2,06:57AM,491153,68,1945
1512,2,205,4,4,04:37PM,447763,86,1471
1513,10,324,12,2,12:58PM,280504,13,1326
1514,4,148,4,6,12:40PM,460097,87,1970
1515,10,1292,5,5,04:09PM,152472,90,1448
1516,7,261,9,3,03:28PM,271686,22,178
1517,2,801,12,6,04:27PM,331144,59,326
1518,0,1488,20,2,04:57PM,298469,49,1126
1519,3,930,16,4,03:08PM,158235,18,214
1521,9,1145,1,6,10:36AM,190895,49,918
1522,7,372,1,2,06:07AM,198978,85,1024
1523,9,1070,8,5,04:15PM,440197,7,263
1524,3,456,16,2,11:08PM,287635,75,453
1525,4,705,9,2,09:56PM,364646,81,273
1526,1,633,15,2,11:36AM,163901,39,822
1527,3,1483,6,6,01:06AM,473235,9,779
1528,5,608,2,4,08:45AM,101354,64,1561
1529,0,348,17,1,07:15AM,472098,61,578
1530,0,1039,4,4,11:11AM,158235,18,1714
1532,10,217,2,1,06:00AM,106540,17,296
1533,10,622,2,3,06:24PM,106540,88,540
1534,10,2,4,5,04:15AM,120980,82,1745
1535,0,959,6,2,03:55AM,124562,2,177
1536,2,856,17,1,05:11PM,278006,76,544
1538,1,333,9,2,01:21AM,372743,45,814
1539,2,826,8,5,12:39PM,485355,11,598
1540,0,343,8,6,03:35PM,219930,90,1527
1541,6,475,19,6,07:27PM,181268,62,756
1542,5,1077,7,3,05:35PM,149914,75,1095
1543,7,1413,12,6,09:39AM,413843,7,589
1544,6,1133,3,6,07:18AM,276500,41,856
1545,0,711,20,1,03:01PM,236538,72,1122
1547,2,1325,10,6,01:47AM,237151,35,1094
1548,9,239,20,5,02:10AM,318383,27,830
1549,4,170,14,3,09:04PM,488010,61,163
1550,3,382,12,3,06:28PM,101354,23,849
1551,5,1384,15,1,07:51PM,230793,38,847
1552,6,1385,6,5,10:40PM,341650,26,488
1553,3,877,20,1,04:36AM,196895,75,1683
1554,10,154,4,5,09:17AM,440757,26,115
1556,10,535,0,1,08:11PM,280504,51,1585
1557,0,1180,0,1,09:16AM,433857,3,1328
1558,3,1092,1,2,08:00AM,328946,44,946
1559,7,6,15,2,01:01AM,328675,20,1061
1560,4,1350,10,3,07:01PM,198633,35,1034
1561,3,1053,15,6,02:19PM,265912,90,200
1562,10,884,1,4,02:17PM,353604,55,1867
1563,1,955,6,1,09:39PM,299897,83,512
1564,8,343,11,4,12:12AM,208654,60,1279
1566,3,527,3,5,07:14AM,227469,45,307
1567,0,980,19,6,10:48PM,443630,9,316
1568,8,291,8,3,12:04PM,286566,7,1052
1569,4,308,4,6,06:49AM,410040,83,878
1570,2,252,6,2,03:29AM,204503,82,1817
1571,3,1187,11,2,12:51PM,157873,67,906
1572,4,637,18,4,04:20PM,414814,20,916
1573,2,973,15,3,01:42PM,183831,35,736
1574,9,1348,6,5,04:31AM,272962,78,947
1576,5,1391,6,4,09:43AM,393379,18,1776
1577,3,1199,6,2,05:33PM,492067,41,759
1579,4,1500,16,4,02:48PM,201092,20,846
1580,5,1476,20,2,04:01AM,384119,71,1223
1581,10,1092,13,2,02:20PM,273565,3,209
1582,7,1450,0,1,08:53AM,217470,57,412
1583,1,1231,14,3,05:12AM,458043,80,1238
1584,9,516,19,5,08:13AM,193637,23,550
1585,3,517,0,5,12:57PM,449147,12,1751
1586,4,529,19,3,03:55PM,218419,88,328
1587,6,84,1,5,08:38PM,331293,82,1876
1588,7,303,10,5,04:41PM,276500,3,458
1589,0,37,2,2,11:18PM,104188,72,659
1590,9,1367,3,5,09:11PM,109536,35,1886
1591,1,209,4,5,01:22AM,387509,55,603
1592,0,1236,19,3,02:39AM,314915,26,1217
1593,4,1263,16,4,05:09PM,268440,26,121
1594,10,1207,20,5,04:30PM,212084,9,400
1595,7,234,16,1,02:07AM,372743,55,1163
1596,2,1152,19,3,02:58AM,190465,33,298
1597,10,1372,18,3,12:55AM,187034,66,117
1599,7,398,3,3,01:29AM,211708,42,252
1600,6,864,2,2,03:48AM,240500,74,1269
1601,9,287,8,2,05:13PM,398155,43,612
1602,10,222,13,3,08:45PM,121647,68,1977
1603,4,57,16,6,10:55AM,318659,53,1886
1604,7,943,15,2,09:05AM,457945,54,1164
1605,4,313,10,5,01:37PM,280504,48,1228
1606,6,970,5,2,01:20AM,276500,89,375
1608,7,711,16,5,12:11PM,205428,60,1947
1609,3,1470,3,1,04:54PM,342440,21,1093
1610,9,1252,13,3,02:06PM,187252,64,574
1611,8,1167,20,3,12:10AM,130438,61,751
1612,10,247,5,4,09:54PM,473305,32,285
1613,8,68,3,5,10:35PM,180886,36,1803
1614,2,1074,3,4,10:11AM,379124,13,646
1615,0,775,14,1,01:44AM,447954,68,227
1616,2,2,15,6,12:12PM,259213,57,1102
1617,2,1366,9,1,04:55PM,190465,12,1190
1618,0,884,14,6,10:34AM,489005,74,1584
1619,0,119,20,3,03:23AM,181165,46,385
1620,1,86,20,3,02:08AM,385002,16,319
1621,7,1238,12,6,08:02AM,217915,79,1903
1622,7,952,2,4,06:12AM,212604,83,530
1623,5,725,3,3,06:21PM,125045,18,152
1624,7,263,15,4,12:00AM,395048,23,1821
1625,1,496,8,3,09:49PM,164249,44,1387
1626,7,67,16,3,09:34PM,384799,78,1502
1627,1,32,11,1,01:47AM,442573,36,1231
1628,8,324,14,2,04:35PM,433857,11,701
1631,9,972,6,5,02:30PM,271083,27,1366
1632,6,836,4,1,08:39PM,190465,17,1598
1633,10,709,15,4,05:40PM,287484,65,1296
1635,8,33,11,4,12:18PM,476166,55,329
1636,9,826,20,6,05:01AM,448599,57,1747
1637,6,1148,4,5,08:29PM,260630,65,193
1638,4,65,8,4,12:09AM,101354,8,1988
1639,1,721,12,6,04:56PM,230532,29,661
1640,6,858,0,1,02:13PM,146982,14,1682
1641,8,814,7,6,10:00PM,118039,10,161
1643,1,929,15,4,08:17AM,281807,34,190
1644,7,1319,3,6,09:37PM,444406,69,1585
1647,3,322,8,5,09:56AM,427838,62,1183
1648,2,421,3,6,12:11PM,160962,30,231
1650,0,298,15,4,02:25PM,288756,53,1333
1652,10,954,20,4,08:45AM,142965,36,1903
1653,7,961,10,3,12:17PM,264105,16,1690
1654,3,25,0,1,01:23AM,331197,36,1213
1655,0,144,17,6,08:49AM,402260,56,782
1656,3,249,4,3,09:07AM,395915,90,1493
1659,7,594,1,6,10:08PM,213128,75,1641
1660,4,56,13,5,07:40AM,243194,54,1891
1661,6,905,10,3,11:52PM,106489,46,1477
1662,7,47,6,3,06:19PM,185577,56,573
1664,3,693,17,3,05:59PM,190465,24,1782
1665,6,442,16,6,03:57AM,227515,49,1838
1666,6,495,3,1,07:45AM,190465,38,1519
1667,4,1031,8,2,10:23AM,237285,2,1211
1668,4,816,7,5,03:37AM,456090,63,222
1669,10,1365,17,1,09:11PM,411821,14,1499
1670,0,1332,16,2,12:31PM,125636,74,601
1671,6,530,13,6,04:40AM,430343,27,155
1672,2,154,11,3,12:08AM,434652,26,1118
1673,10,1162,19,1,10:29AM,222524,31,1478
1674,3,1370,10,4,08:00PM,440648,57,1933
1675,2,1069,5,2,12:40PM,458657,16,1687
1676,0,1380,4,3,04:05AM,331030,10,286
1677,2,488,4,2,10:08PM,430267,44,632
1679,7,1090,11,2,02:55PM,212771,76,1252
1680,6,1491,10,2,09:27PM,300028,25,1753
1681,5,1483,9,4,03:40AM,287364,50,1197
1682,2,1179,2,3,05:15AM,190465,6,873
1683,10,541,14,5,10:26PM,215011,49,1944
1684,6,838,19,2,06:45PM,106489,57,1996
1686,7,1004,0,1,10:53PM,362376,70,236
1687,6,858,12,2,09:21PM,437804,82,483
1688,0,685,12,1,03:34PM,106540,6,1811
1689,9,585,16,5,04:58PM,159441,26,383
1690,6,599,3,5,10:47PM,325579,5,1850
1691,1,417,15,4,06:13PM,416622,33,730
1692,6,769,12,5,01:06AM,354910,66,841
1693,1,385,15,2,03:30PM,245210,72,945
1694,0,153,0,3,12:54PM,424886,52,880
1695,6,1335,12,5,07:09PM,221454,21,1255
1696,1,889,5,3,02:47AM,356447,22,1454
1697,0,1321,4,5,09:11AM,444212,67,1129
1698,2,726,4,6,12:05AM,357281,88,1805
1699,5,1233,5,4,01:04AM,293826,80,435
1701,10,1337,6,1,02:41AM,313952,44,1959
1702,7,731,15,3,08:13PM,487069,57,1323
1703,6,1169,14,1,07:12PM,217470,41,1803
1704,6,51,2,3,09:53AM,160082,20,915
1706,3,489,13,3,05:08PM,219930,24,597
1707,8,1109,9,4,12:16AM,386736,44,915
1708,0,431,15,6,08:53AM,135303,58,212
1709,8,914,14,6,04:22AM,351846,24,704
1710,1,675,7,4,03:58AM,152472,3,1193
1711,2,327,3,6,10:51AM,470447,14,1055
1712,3,822,10,2,12:55AM,345697,41,457
1714,5,706,13,1,08:08AM,325579,12,1143
1715,7,716,18,3,10:18AM,417720,36,787
1716,2,1202,19,1,06:41PM,260630,46,1762
1718,6,1293,16,4,02:28AM,263669,64,946
1719,8,505,5,3,05:44PM,168374,57,135
1720,4,1459,6,4,03:21AM,320422,63,1976
1721,0,63,3,3,01:29AM,263669,45,1014
1722,0,995,12,3,05:41PM,287364,79,403
1723,8,125,8,1,09:54AM,423035,84,805
1724,6,1201,9,2,03:33PM,276500,44,924
1725,4,659,15,6,09:13AM,276500,76,1370
1726,6,517,17,6,09:21AM,440130,69,1481
1727,2,1463,14,4,04:29PM,125344,88,1857
1728,9,813,15,2,08:20PM,406566,70,1419
1729,1,1379,17,5,07:42AM,466697,55,1513
1730,9,1231,19,6,04:27AM,319308,32,628
1731,5,1088,2,1,11:13AM,352678,26,517
1732,1,409,7,1,03:14AM,331030,25,928
1733,6,310,15,3,08:39PM,411062,8,1791
1734,6,1036,13,2,11:03PM,389731,44,1711
1735,9,763,17,6,08:33AM,173402,71,269
1736,10,618,14,2,04:41AM,479486,34,1561
1738,4,335,19,2,09:47PM,428592,43,1920
1739,6,231,9,6,11:24AM,173408,12,741
1741,9,789,5,6,09:58PM,239726,89,732
1742,5,500,20,3,03:23AM,173402,54,390
1743,0,1145,20,1,05:05PM,361130,19,469
1744,0,540,0,4,03:40AM,488010,60,1988
1746,8,788,8,3,09:57PM,301222,83,352
1750,9,691,10,1,12:42PM,492129,76,1417
1751,7,277,0,4,05:12PM,492398,39,266
1752,4,860,7,6,08:39PM,309190,5,938
1753,8,130,5,3,04:48AM,185415,65,1104
1755,10,1114,4,2,08:10PM,297140,55,1646
1757,4,492,13,5,12:36AM,159441,44,1931
1758,4,1217,9,6,09:23AM,164249,73,1177
1759,9,465,18,3,04:13PM,339437,58,1312
1761,2,726,8,5,11:34AM,106489,62,388
1762,2,558,8,3,10:27AM,476467,55,1330
1763,6,242,9,1,09:22PM,270080,57,104
1764,9,903,9,5,07:53AM,428592,11,493
1765,3,83,8,6,04:31AM,364944,24,1953
1766,10,1264,12,5,05:37AM,365904,46,1815
1767,6,720,2,5,08:51PM,224155,33,261
1768,2,1088,19,5,09:07AM,106540,48,652
1769,0,755,6,2,12:31PM,181977,48,514
1772,8,436,7,4,04:49PM,239647,51,1031
1773,6,780,20,4,11:02AM,165744,51,363
1774,5,20,15,6,02:51PM,174569,71,1963
1776,3,1423,19,1,03:53PM,327773,59,1607
1778,7,1030,4,6,05:51AM,190240,53,164
1779,1,1056,14,5,07:41PM,109511,81,1333
1780,3,932,6,5,08:27PM,478614,90,1094
1781,5,1226,5,3,03:54PM,210700,70,1318
1782,6,280,0,4,10:43AM,351846,50,1906
1783,7,556,12,1,06:01AM,497048,90,1830
1784,1,1013,3,6,08:06AM,497048,40,643
1785,4,250,2,6,08:18PM,341651,22,558
1786,5,44,20,2,03:34PM,393578,67,150
1787,9,704,0,6,07:09PM,152610,49,909
1788,7,1037,7,6,04:06PM,464972,76,129
1789,4,136,20,6,04:48AM,219930,81,1147
1790,9,326,11,6,03:46AM,378903,18,1570
1791,7,232,2,6,05:41PM,427255,88,1267
1792,8,277,12,3,04:23AM,271686,18,580
1793,8,1447,1,1,05:30PM,483544,17,1068
1794,5,864,5,3,02:58AM,309190,49,657
1796,0,749,5,2,05:33AM,296040,84,794
1798,6,589,15,2,11:39PM,484807,49,1614
1799,10,23,2,2,04:03AM,464142,43,646
1800,8,43,5,6,05:53PM,309142,12,336
1801,7,917,9,6,02:30AM,121709,6,1115
1802,4,717,8,3,02:13AM,207102,88,957
1803,9,262,15,4,09:29PM,320998,67,1570
1804,3,1452,19,3,10:08PM,178992,58,585
1806,5,1270,1,4,03:31PM,426534,47,124
1807,6,852,6,1,06:10PM,296511,36,1931
1809,3,929,3,4,08:00PM,209544,13,979
1811,1,122,15,3,01:24PM,160060,61,1384
1813,5,524,14,5,09:54AM,250145,59,373
1814,2,651,8,4,12:56AM,209352,84,783
1815,7,1421,6,2,09:27PM,193048,31,1398
1817,3,692,15,2,05:08AM,239733,20,1438
1818,2,793,12,3,03:59AM,443630,45,1914
1820,5,786,12,5,12:08PM,325579,83,724
1821,2,1242,11,4,02:27AM,444406,71,1508
1823,10,1250,20,5,11:49AM,365758,19,716
1824,9,1090,13,3,10:53PM,473305,76,1327
1825,10,711,13,3,09:02PM,496626,48,1181
1827,8,711,7,6,12:58AM,125636,20,1931
1832,9,731,15,4,09:27AM,190895,53,1987
1833,8,168,2,3,11:36PM,280504,79,1881
1834,0,1071,19,5,01:40AM,280260,58,1072
1835,3,1164,18,2,02:53PM,363744,16,1327
1839,5,382,17,5,02:05AM,216390,51,706
1840,0,143,5,5,11:15AM,187559,10,473
1841,0,580,6,4,02:27PM,480938,36,1164
1842,0,659,16,3,06:32AM,353290,79,1938
1843,6,36,9,6,12:36PM,124562,41,1986
1844,1,497,14,4,06:58AM,143944,21,1542
1845,4,1292,20,6,02:42AM,293826,3,321
1847,7,652,4,6,07:15PM,133895,31,736
1849,5,683,14,1,03:40AM,449716,13,1230
1850,7,1221,19,3,01:17PM,129319,3,234
1851,7,1079,9,6,01:14AM,219930,4,1514
1852,3,20,0,2,11:22AM,118917,6,899
1853,9,1291,11,4,05:55PM,264105,8,356
1854,6,1396,18,4,08:28AM,396653,37,1768
1855,10,444,15,2,05:37AM,269338,66,1733
1857,10,1462,16,1,01:22AM,388039,19,710
1858,2,763,4,6,08:42PM,263669,63,1452
1859,6,1177,6,5,11:47PM,209544,66,925
1860,5,654,20,4,01:20PM,124562,69,358
1863,1,325,2,5,03:09AM,324805,7,1801
1864,7,467,4,6,11:57AM,280504,76,598
1866,3,1460,19,1,09:50PM,156423,87,1697
1867,10,607,13,1,07:59PM,124562,79,1645
1868,4,1072,6,1,08:44PM,364515,33,1666
1869,7,853,9,4,04:22PM,258945,57,1268
1870,9,1240,1,1,01:11AM,287364,19,829
1871,10,12,4,2,03:26PM,276500,71,1988
1873,1,284,5,5,03:26AM,125344,2,587
1874,2,1147,13,6,07:27AM,361155,44,1474
1875,3,217,8,2,10:58PM,333735,83,501
1876,2,511,19,4,12:30PM,116341,37,147
1877,8,194,17,6,10:54PM,118917,9,1073
1878,7,896,6,4,12:10AM,155774,27,599
1880,6,1477,20,3,01:07AM,193161,26,820
1881,2,192,10,3,05:29AM,201499,64,1391
1883,2,1093,20,3,12:04PM,212604,31,1040
1885,3,79,13,1,03:08PM,172539,43,624
1886,7,679,7,6,12:31AM,171895,17,703
1887,10,701,5,4,11:04PM,423997,72,363
1888,8,150,15,4,10:56AM,222066,65,1684
1889,7,1307,11,5,05:26AM,234390,26,917
1890,3,626,13,5,07:38AM,479013,52,2000
1891,2,230,18,2,09:24PM,152472,74,1428
1894,9,820,8,5,06:34AM,224794,27,1135
1898,6,851,18,2,04:44PM,277059,89,752
1900,3,562,14,2,02:57PM,490035,24,140
1902,1,1083,4,2,11:00PM,270599,73,1642
1903,0,1201,4,3,04:19AM,316914,6,1272
1904,4,1380,3,2,07:32PM,422402,2,1445
1905,6,1351,17,2,07:45AM,487984,57,930
1906,6,165,17,3,10:32AM,342440,29,1866
1907,5,331,6,1,12:19AM,434204,32,1321
1908,2,135,12,5,03:22PM,325579,77,711
1909,5,512,14,2,12:23PM,287635,35,549
1910,0,911,10,2,05:49AM,459819,39,314
1911,9,1431,9,2,09:23PM,216369,42,393
1913,0,216,9,5,01:59AM,404732,90,236
1914,6,823,8,1,09:57AM,276500,6,1564
1915,5,233,18,1,12:03PM,240149,33,455
1916,7,444,3,2,07:27PM,276500,10,1513
1917,6,384,7,3,05:27AM,446455,90,788
1918,2,173,8,2,01:58AM,106540,64,768
1919,10,818,10,3,07:18PM,164816,56,534
1921,7,1480,1,4,10:48AM,492713,86,1034
1924,6,585,17,5,07:31PM,463483,26,155
1929,4,1089,2,2,07:25PM,282741,6,499
1930,7,121,0,4,09:54PM,450591,20,343
1933,7,1349,12,6,01:39PM,413876,48,967
1934,1,1482,6,6,08:13PM,111133,51,618
1936,8,698,15,6,03:12PM,421590,48,721
1937,8,1471,2,3,05:38AM,430267,77,633
1938,3,1433,1,5,09:51AM,189920,83,385
1940,3,1347,7,6,12:20AM,421106,4,1895
1942,1,1037,11,2,03:19AM,455343,71,1575
1943,2,869,9,3,03:23AM,180519,28,134
1944,10,965,4,5,04:12AM,447115,23,1671
1945,10,634,15,4,11:19AM,104184,46,1796
1946,3,1010,2,4,07:52PM,222768,50,1281
1947,4,1251,15,4,09:31AM,270080,4,1925
1950,2,1009,8,6,03:23PM,460705,27,519
1952,2,656,3,6,09:35PM,264755,50,709
1953,3,914,6,2,04:51PM,318404,61,262
1954,4,772,4,3,11:14AM,464054,6,857
1955,8,575,20,2,04:52PM,152351,50,1977
1956,0,558,20,2,12:19PM,152472,52,1819
1958,7,1493,5,4,08:45AM,318404,26,383
1959,10,501,15,5,12:57AM,162804,83,203
1960,3,438,6,4,02:15AM,449716,62,800
1961,7,891,15,4,04:37PM,449716,52,1218
1962,4,322,18,3,05:32PM,339272,71,1214
1963,2,609,15,5,10:15PM,365482,52,1159
1964,2,918,13,1,10:52PM,381116,59,1287
1965,2,793,8,4,07:01AM,338524,75,1835
1966,2,172,0,3,10:18AM,439078,49,1011
1967,10,1135,10,2,05:33AM,207095,11,1366
1968,7,133,12,1,06:01AM,165884,14,1610
1969,4,116,15,6,11:06PM,321038,78,620
1970,2,123,9,1,12:15AM,237429,39,1156
1972,4,548,6,6,10:45PM,486072,15,203
1973,4,392,13,2,06:58PM,426975,36,1834
1974,9,552,15,1,01:41AM,273628,88,101
1975,5,413,15,5,05:19AM,190465,4,1603
1976,2,835,4,2,06:45AM,264105,21,689
1977,8,733,6,4,06:26PM,276500,39,107
1978,1,1261,7,2,08:07PM,255152,47,451
1979,9,724,16,3,02:22PM,106489,25,1592
1980,0,1319,10,4,07:18AM,279211,11,1048
1981,9,666,5,2,12:33PM,246733,58,1760
1982,1,849,13,5,12:36AM,425770,20,1531
1983,10,262,8,5,09:56PM,140017,62,1230
1984,4,604,6,4,01:58PM,196018,14,132
1986,8,1131,4,4,11:22AM,106489,83,1862
1987,8,449,3,1,04:07AM,158235,87,1191
1988,1,46,18,6,09:12AM,365758,4,1439
1989,10,1287,15,3,11:47PM,124562,14,320
1990,7,890,17,1,07:42AM,320340,29,1082
1991,9,1218,18,2,01:09AM,305295,6,1375
1992,10,1235,15,5,02:16PM,471328,47,1338
1993,5,589,20,6,09:50AM,275109,4,1362
1994,1,48,14,2,07:51AM,103133,64,421
1995,6,1450,7,6,07:59AM,405566,62,1119
1996,7,320,10,2,08:09AM,325496,88,198
1997,5,107,7,4,08:28AM,300235,19,1625
1998,7,623,11,6,10:53PM,110686,76,722
1999,1,664,14,3,08:23PM,276500,46,933
2000,2,1268,1,1,12:59PM,422859,70,932
2001,6,137,11,2,10:07AM,423697,89,165
2002,0,711,17,4,10:14PM,420729,80,1952
2003,2,686,7,3,01:14AM,272411,34,1754
2004,3,122,12,4,04:00PM,323837,18,1949
2005,3,913,7,1,11:25PM,479420,45,1730
2006,1,924,11,1,10:15AM,150959,76,1957
2007,3,907,3,3,12:04PM,319015,83,1926
2008,7,187,18,5,06:33PM,413500,24,474
2009,9,1452,18,5,09:24AM,184585,6,1550
2010,6,1465,9,5,04:17AM,473067,8,1482
2011,0,156,15,1,07:28AM,331166,76,274
2012,9,528,13,1,11:36AM,372241,52,569
2013,8,95,8,1,04:04AM,262295,72,1003
2014,9,218,3,1,05:00AM,318404,85,1700
2015,2,1040,1,4,02:08AM,453577,53,1685
2016,0,552,6,1,06:02PM,474244,33,1653
2017,4,1331,2,5,02:21PM,219017,78,1051
2018,2,881,0,5,03:28AM,394164,6,957
2019,7,415,9,4,01:48PM,196017,10,506
2020,3,635,10,6,11:29PM,342440,12,1712
2021,3,558,2,2,03:06AM,212604,11,1396
2022,8,318,15,4,08:12AM,219237,16,1745
2023,0,221,19,4,08:14PM,183842,87,1787
2024,0,44,15,4,10:51PM,157611,76,1686
2026,6,1349,5,6,03:06PM,435665,2,406
2027,1,545,10,1,08:00PM,217881,81,890
2028,7,1437,15,1,10:31AM,187252,86,1091
2029,2,207,7,3,08:51PM,468577,55,229
2030,4,448,19,1,11:41PM,382510,24,113
2031,3,111,11,2,07:35PM,369871,18,1868
2032,5,956,6,3,11:34PM,373503,22,471
2033,2,459,19,1,05:17AM,177965,54,136
2034,1,437,14,1,07:04PM,427772,90,989
2035,9,1094,16,1,09:06PM,428382,81,1866
2036,4,946,9,4,12:12PM,318659,56,1980
2038,7,1047,13,1,06:17PM,443630,69,1387
2039,9,1264,17,3,03:29AM,129101,65,1308
2040,6,1416,12,4,10:24PM,238864,61,1474
2041,5,772,3,3,05:35AM,408236,7,165
2042,3,1139,7,1,05:34PM,239726,55,1053
2046,4,366,20,6,06:46AM,499408,45,673
2047,4,960,8,5,07:18AM,357922,23,1654
2048,9,521,20,4,04:10AM,180138,22,562
2049,0,1381,1,5,05:42AM,311964,75,906
